,node_text,electoral,node_type,id,party
0,AZ,11.0,state,AZ,
12,FL,29.0,state,FL,
24,GA,16.0,state,GA,
30,MI,16.0,state,MI,
42,MN,10.0,state,MN,
48,NC,15.0,state,NC,
60,OH,18.0,state,OH,
68,PA,20.0,state,PA,
80,TX,38.0,state,TX,
92,WI,10.0,state,WI,
0,Public Administration,,industry,Public Administration_NC,
1,Management of Companies and Enterprises,,industry,Management of Companies and Enterprises_NC,
2,Health Care and Social Assistance,,industry,Health Care and Social Assistance_NC,
3,Finance and Insurance,,industry,Finance and Insurance_NC,
4,Educational Services,,industry,Educational Services_NC,
5,"Professional, Scientific, and Technical Services",,industry,"Professional, Scientific, and Technical Services_NC",
6,RETIRED,,industry,RETIRED_NC,
7,NOT EMPLOYED,,industry,NOT EMPLOYED_NC,
8,Real Estate and Rental and Leasing,,industry,Real Estate and Rental and Leasing_NC,
9,Administrative and Support and Waste Management and Remediation Services,,industry,Administrative and Support and Waste Management and Remediation Services_NC,
10,Public Administration,,industry,Public Administration_WI,
11,Real Estate and Rental and Leasing,,industry,Real Estate and Rental and Leasing_WI,
12,Management of Companies and Enterprises,,industry,Management of Companies and Enterprises_WI,
13,Health Care and Social Assistance,,industry,Health Care and Social Assistance_WI,
14,Educational Services,,industry,Educational Services_WI,
15,"Professional, Scientific, and Technical Services",,industry,"Professional, Scientific, and Technical Services_WI",
16,RETIRED,,industry,RETIRED_WI,
17,NOT EMPLOYED,,industry,NOT EMPLOYED_WI,
18,Administrative and Support and Waste Management and Remediation Services,,industry,Administrative and Support and Waste Management and Remediation Services_WI,
19,Manufacturing,,industry,Manufacturing_WI,
20,Public Administration,,industry,Public Administration_FL,
21,Management of Companies and Enterprises,,industry,Management of Companies and Enterprises_FL,
22,Real Estate and Rental and Leasing,,industry,Real Estate and Rental and Leasing_FL,
23,Administrative and Support and Waste Management and Remediation Services,,industry,Administrative and Support and Waste Management and Remediation Services_FL,
24,Health Care and Social Assistance,,industry,Health Care and Social Assistance_FL,
25,Finance and Insurance,,industry,Finance and Insurance_FL,
26,"Professional, Scientific, and Technical Services",,industry,"Professional, Scientific, and Technical Services_FL",
27,RETIRED,,industry,RETIRED_FL,
28,NOT EMPLOYED,,industry,NOT EMPLOYED_FL,
29,DIRECTOR,,industry,DIRECTOR_FL,
30,Public Administration,,industry,Public Administration_MI,
31,Real Estate and Rental and Leasing,,industry,Real Estate and Rental and Leasing_MI,
32,Management of Companies and Enterprises,,industry,Management of Companies and Enterprises_MI,
33,Health Care and Social Assistance,,industry,Health Care and Social Assistance_MI,
34,Educational Services,,industry,Educational Services_MI,
35,"Professional, Scientific, and Technical Services",,industry,"Professional, Scientific, and Technical Services_MI",
36,RETIRED,,industry,RETIRED_MI,
37,NOT EMPLOYED,,industry,NOT EMPLOYED_MI,
38,Administrative and Support and Waste Management and Remediation Services,,industry,Administrative and Support and Waste Management and Remediation Services_MI,
39,Manufacturing,,industry,Manufacturing_MI,
40,Public Administration,,industry,Public Administration_PA,
41,Management of Companies and Enterprises,,industry,Management of Companies and Enterprises_PA,
42,Real Estate and Rental and Leasing,,industry,Real Estate and Rental and Leasing_PA,
43,NOT EMPLOYED,,industry,NOT EMPLOYED_PA,
44,Health Care and Social Assistance,,industry,Health Care and Social Assistance_PA,
45,Educational Services,,industry,Educational Services_PA,
46,"Professional, Scientific, and Technical Services",,industry,"Professional, Scientific, and Technical Services_PA",
47,RETIRED,,industry,RETIRED_PA,
48,Administrative and Support and Waste Management and Remediation Services,,industry,Administrative and Support and Waste Management and Remediation Services_PA,
49,Finance and Insurance,,industry,Finance and Insurance_PA,
50,Health Care and Social Assistance,,industry,Health Care and Social Assistance_AZ,
51,Finance and Insurance,,industry,Finance and Insurance_AZ,
52,Management of Companies and Enterprises,,industry,Management of Companies and Enterprises_AZ,
53,RETIRED,,industry,RETIRED_AZ,
54,"Professional, Scientific, and Technical Services",,industry,"Professional, Scientific, and Technical Services_AZ",
55,NOT EMPLOYED,,industry,NOT EMPLOYED_AZ,
56,Public Administration,,industry,Public Administration_AZ,
57,Administrative and Support and Waste Management and Remediation Services,,industry,Administrative and Support and Waste Management and Remediation Services_AZ,
58,Real Estate and Rental and Leasing,,industry,Real Estate and Rental and Leasing_AZ,
59,Construction,,industry,Construction_AZ,
60,Health Care and Social Assistance,,industry,Health Care and Social Assistance_OH,
61,Management of Companies and Enterprises,,industry,Management of Companies and Enterprises_OH,
62,RETIRED,,industry,RETIRED_OH,
63,"Professional, Scientific, and Technical Services",,industry,"Professional, Scientific, and Technical Services_OH",
64,NOT EMPLOYED,,industry,NOT EMPLOYED_OH,
65,Educational Services,,industry,Educational Services_OH,
66,Finance and Insurance,,industry,Finance and Insurance_OH,
67,Administrative and Support and Waste Management and Remediation Services,,industry,Administrative and Support and Waste Management and Remediation Services_OH,
68,Real Estate and Rental and Leasing,,industry,Real Estate and Rental and Leasing_OH,
69,Public Administration,,industry,Public Administration_OH,
70,Public Administration,,industry,Public Administration_MN,
71,Real Estate and Rental and Leasing,,industry,Real Estate and Rental and Leasing_MN,
72,Transportation and Warehousing,,industry,Transportation and Warehousing_MN,
73,Management of Companies and Enterprises,,industry,Management of Companies and Enterprises_MN,
74,Health Care and Social Assistance,,industry,Health Care and Social Assistance_MN,
75,Educational Services,,industry,Educational Services_MN,
76,RETIRED,,industry,RETIRED_MN,
77,"Professional, Scientific, and Technical Services",,industry,"Professional, Scientific, and Technical Services_MN",
78,NOT EMPLOYED,,industry,NOT EMPLOYED_MN,
79,Administrative and Support and Waste Management and Remediation Services,,industry,Administrative and Support and Waste Management and Remediation Services_MN,
80,Management of Companies and Enterprises,,industry,Management of Companies and Enterprises_TX,
81,Health Care and Social Assistance,,industry,Health Care and Social Assistance_TX,
82,Finance and Insurance,,industry,Finance and Insurance_TX,
83,Educational Services,,industry,Educational Services_TX,
84,"Professional, Scientific, and Technical Services",,industry,"Professional, Scientific, and Technical Services_TX",
85,RETIRED,,industry,RETIRED_TX,
86,NOT EMPLOYED,,industry,NOT EMPLOYED_TX,
87,Public Administration,,industry,Public Administration_TX,
88,Administrative and Support and Waste Management and Remediation Services,,industry,Administrative and Support and Waste Management and Remediation Services_TX,
89,Real Estate and Rental and Leasing,,industry,Real Estate and Rental and Leasing_TX,
90,Public Administration,,industry,Public Administration_GA,
91,Real Estate and Rental and Leasing,,industry,Real Estate and Rental and Leasing_GA,
92,Management of Companies and Enterprises,,industry,Management of Companies and Enterprises_GA,
93,Health Care and Social Assistance,,industry,Health Care and Social Assistance_GA,
94,Finance and Insurance,,industry,Finance and Insurance_GA,
95,Educational Services,,industry,Educational Services_GA,
96,"Professional, Scientific, and Technical Services",,industry,"Professional, Scientific, and Technical Services_GA",
97,RETIRED,,industry,RETIRED_GA,
98,NOT EMPLOYED,,industry,NOT EMPLOYED_GA,
99,Administrative and Support and Waste Management and Remediation Services,,industry,Administrative and Support and Waste Management and Remediation Services_GA,
0,BIDEN FOR PRESIDENT,,committee,BIDEN FOR PRESIDENT,Dem
1,"DONALD J. TRUMP FOR PRESIDENT, INC.",,committee,"DONALD J. TRUMP FOR PRESIDENT, INC.",Rep
2,NRA INSTITUTE FOR LEGISLATIVE ACTION,,committee,NRA INSTITUTE FOR LEGISLATIVE ACTION,Dem
3,"MASTER PRINT, INC.",,committee,"MASTER PRINT, INC.",Dem
4,UNITED STATES POSTAL SERVICE,,committee,UNITED STATES POSTAL SERVICE,Dem
5,STAMPEDE AMERICA,,committee,STAMPEDE AMERICA,Rep
6,"I360, LLC",,committee,"I360, LLC",Rep
7,NATIONAL RIFLE ASSOCIATION OF AMERICA,,committee,NATIONAL RIFLE ASSOCIATION OF AMERICA,Rep
8,"DUSTBUSTERS SWEEPING SERVICE, INC.",,committee,"DUSTBUSTERS SWEEPING SERVICE, INC.",Rep
9,WISCONSIN CONSERVATIVE LEADERSHIP COALITION,,committee,WISCONSIN CONSERVATIVE LEADERSHIP COALITION,Rep
10,"EXECUTIVE EAGLES ADVERTISING, LLC",,committee,"EXECUTIVE EAGLES ADVERTISING, LLC",Rep
11,BIDEN VICTORY FUND,,committee,BIDEN VICTORY FUND,Dem
12,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,,committee,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,Rep
13,TRUMP VICTORY,,committee,TRUMP VICTORY,Rep
14,DONALD J. TRUMP FOR PRESIDENT INC.,,committee,DONALD J. TRUMP FOR PRESIDENT INC.,Rep
15,PLANNED PARENTHOOD MAINE ACTION FUND,,committee,PLANNED PARENTHOOD MAINE ACTION FUND,Dem
16,PLANNED PARENTHOOD ADVOCATES OF ARIZONA,,committee,PLANNED PARENTHOOD ADVOCATES OF ARIZONA,Rep
17,FLORIDA ALLIANCE OF PLANNED PARENTHOOD AFFILIATES,,committee,FLORIDA ALLIANCE OF PLANNED PARENTHOOD AFFILIATES,Rep
18,DONALD J. TRUMP FOR PRESIDENT INC,,committee,DONALD J. TRUMP FOR PRESIDENT INC,Rep
19,DONALD J TRUMP FOR PRESIDENT INC,,committee,DONALD J TRUMP FOR PRESIDENT INC,Rep
20,"DONALD TRUMP FOR PRESIDENT, INC.",,committee,"DONALD TRUMP FOR PRESIDENT, INC.",Rep
21,BIDEN ACTION FUND,,committee,BIDEN ACTION FUND,Dem
22,DONALD J. TRUMP FOR PRESIDENT,,committee,DONALD J. TRUMP FOR PRESIDENT,Rep
