,source,target
0,TX,Health Care and Social Assistance_TX
1,TX,Management of Companies and Enterprises_TX
2,TX,Educational Services_TX
3,TX,RETIRED_TX
4,TX,"Professional, Scientific, and Technical Services_TX"
5,TX,NOT EMPLOYED_TX
6,TX,Public Administration_TX
7,TX,Real Estate and Rental and Leasing_TX
8,TX,Finance and Insurance_TX
9,TX,Administrative and Support and Waste Management and Remediation Services_TX
10,MI,Health Care and Social Assistance_MI
11,MI,Educational Services_MI
12,MI,"Professional, Scientific, and Technical Services_MI"
13,MI,RETIRED_MI
14,MI,NOT EMPLOYED_MI
15,MI,Management of Companies and Enterprises_MI
16,MI,Public Administration_MI
17,MI,Administrative and Support and Waste Management and Remediation Services_MI
18,MI,Real Estate and Rental and Leasing_MI
19,MI,Manufacturing_MI
20,NC,Health Care and Social Assistance_NC
21,NC,Management of Companies and Enterprises_NC
22,NC,Educational Services_NC
23,NC,"Professional, Scientific, and Technical Services_NC"
24,NC,RETIRED_NC
25,NC,NOT EMPLOYED_NC
26,NC,Public Administration_NC
27,NC,Real Estate and Rental and Leasing_NC
28,NC,Administrative and Support and Waste Management and Remediation Services_NC
29,NC,Finance and Insurance_NC
30,WI,Health Care and Social Assistance_WI
31,WI,Educational Services_WI
32,WI,"Professional, Scientific, and Technical Services_WI"
33,WI,RETIRED_WI
34,WI,NOT EMPLOYED_WI
35,WI,Management of Companies and Enterprises_WI
36,WI,Administrative and Support and Waste Management and Remediation Services_WI
37,WI,Public Administration_WI
38,WI,Real Estate and Rental and Leasing_WI
39,WI,Manufacturing_WI
40,MN,Health Care and Social Assistance_MN
41,MN,Management of Companies and Enterprises_MN
42,MN,Educational Services_MN
43,MN,RETIRED_MN
44,MN,"Professional, Scientific, and Technical Services_MN"
45,MN,NOT EMPLOYED_MN
46,MN,Public Administration_MN
47,MN,Administrative and Support and Waste Management and Remediation Services_MN
48,MN,Real Estate and Rental and Leasing_MN
49,MN,Transportation and Warehousing_MN
50,FL,Health Care and Social Assistance_FL
51,FL,Management of Companies and Enterprises_FL
52,FL,RETIRED_FL
53,FL,"Professional, Scientific, and Technical Services_FL"
54,FL,NOT EMPLOYED_FL
55,FL,Administrative and Support and Waste Management and Remediation Services_FL
56,FL,Finance and Insurance_FL
57,FL,Real Estate and Rental and Leasing_FL
58,FL,Public Administration_FL
59,FL,DIRECTOR_FL
60,PA,Management of Companies and Enterprises_PA
61,PA,Health Care and Social Assistance_PA
62,PA,Educational Services_PA
63,PA,"Professional, Scientific, and Technical Services_PA"
64,PA,RETIRED_PA
65,PA,NOT EMPLOYED_PA
66,PA,Finance and Insurance_PA
67,PA,Public Administration_PA
68,PA,Administrative and Support and Waste Management and Remediation Services_PA
69,PA,Real Estate and Rental and Leasing_PA
70,OH,Management of Companies and Enterprises_OH
71,OH,Health Care and Social Assistance_OH
72,OH,Educational Services_OH
73,OH,"Professional, Scientific, and Technical Services_OH"
74,OH,RETIRED_OH
75,OH,NOT EMPLOYED_OH
76,OH,Public Administration_OH
77,OH,Administrative and Support and Waste Management and Remediation Services_OH
78,OH,Real Estate and Rental and Leasing_OH
79,OH,Transportation and Warehousing_OH
80,GA,Management of Companies and Enterprises_GA
81,GA,Health Care and Social Assistance_GA
82,GA,Educational Services_GA
83,GA,RETIRED_GA
84,GA,"Professional, Scientific, and Technical Services_GA"
85,GA,NOT EMPLOYED_GA
86,GA,Public Administration_GA
87,GA,Retail Trade_GA
88,GA,Real Estate and Rental and Leasing_GA
89,GA,Administrative and Support and Waste Management and Remediation Services_GA
90,AZ,Management of Companies and Enterprises_AZ
91,AZ,Health Care and Social Assistance_AZ
92,AZ,"Professional, Scientific, and Technical Services_AZ"
93,AZ,RETIRED_AZ
94,AZ,NOT EMPLOYED_AZ
95,AZ,Public Administration_AZ
96,AZ,Administrative and Support and Waste Management and Remediation Services_AZ
97,AZ,Real Estate and Rental and Leasing_AZ
98,AZ,Construction_AZ
99,AZ,Transportation and Warehousing_AZ
0,Health Care and Social Assistance_TX,BIDEN FOR PRESIDENT
1,Management of Companies and Enterprises_TX,BIDEN FOR PRESIDENT
2,Educational Services_TX,BIDEN FOR PRESIDENT
3,RETIRED_TX,BIDEN FOR PRESIDENT
4,"Professional, Scientific, and Technical Services_TX",BIDEN FOR PRESIDENT
5,NOT EMPLOYED_TX,BIDEN FOR PRESIDENT
6,Public Administration_TX,BIDEN FOR PRESIDENT
7,Real Estate and Rental and Leasing_TX,BIDEN FOR PRESIDENT
8,Finance and Insurance_TX,BIDEN FOR PRESIDENT
9,Administrative and Support and Waste Management and Remediation Services_TX,BIDEN FOR PRESIDENT
10,Health Care and Social Assistance_TX,BIDEN VICTORY FUND
11,Management of Companies and Enterprises_TX,BIDEN VICTORY FUND
12,Educational Services_TX,BIDEN VICTORY FUND
13,RETIRED_TX,BIDEN VICTORY FUND
14,"Professional, Scientific, and Technical Services_TX",BIDEN VICTORY FUND
15,NOT EMPLOYED_TX,BIDEN VICTORY FUND
16,Public Administration_TX,BIDEN VICTORY FUND
17,Real Estate and Rental and Leasing_TX,BIDEN VICTORY FUND
18,Finance and Insurance_TX,BIDEN VICTORY FUND
19,Administrative and Support and Waste Management and Remediation Services_TX,BIDEN VICTORY FUND
20,Health Care and Social Assistance_TX,NRA INSTITUTE FOR LEGISLATIVE ACTION
21,Management of Companies and Enterprises_TX,NRA INSTITUTE FOR LEGISLATIVE ACTION
22,Educational Services_TX,NRA INSTITUTE FOR LEGISLATIVE ACTION
23,RETIRED_TX,NRA INSTITUTE FOR LEGISLATIVE ACTION
24,"Professional, Scientific, and Technical Services_TX",NRA INSTITUTE FOR LEGISLATIVE ACTION
25,Public Administration_TX,NRA INSTITUTE FOR LEGISLATIVE ACTION
26,Real Estate and Rental and Leasing_TX,NRA INSTITUTE FOR LEGISLATIVE ACTION
27,Finance and Insurance_TX,NRA INSTITUTE FOR LEGISLATIVE ACTION
28,Administrative and Support and Waste Management and Remediation Services_TX,NRA INSTITUTE FOR LEGISLATIVE ACTION
29,Health Care and Social Assistance_TX,"MASTER PRINT, INC."
30,Management of Companies and Enterprises_TX,"MASTER PRINT, INC."
31,Educational Services_TX,"MASTER PRINT, INC."
32,RETIRED_TX,"MASTER PRINT, INC."
33,"Professional, Scientific, and Technical Services_TX","MASTER PRINT, INC."
34,Public Administration_TX,"MASTER PRINT, INC."
35,Real Estate and Rental and Leasing_TX,"MASTER PRINT, INC."
36,Finance and Insurance_TX,"MASTER PRINT, INC."
37,Administrative and Support and Waste Management and Remediation Services_TX,"MASTER PRINT, INC."
38,Health Care and Social Assistance_TX,UNITED STATES POSTAL SERVICE
39,Management of Companies and Enterprises_TX,UNITED STATES POSTAL SERVICE
40,Educational Services_TX,UNITED STATES POSTAL SERVICE
41,RETIRED_TX,UNITED STATES POSTAL SERVICE
42,"Professional, Scientific, and Technical Services_TX",UNITED STATES POSTAL SERVICE
43,Public Administration_TX,UNITED STATES POSTAL SERVICE
44,Real Estate and Rental and Leasing_TX,UNITED STATES POSTAL SERVICE
45,Finance and Insurance_TX,UNITED STATES POSTAL SERVICE
46,Administrative and Support and Waste Management and Remediation Services_TX,UNITED STATES POSTAL SERVICE
47,Health Care and Social Assistance_TX,PLANNED PARENTHOOD MAINE ACTION FUND
48,Management of Companies and Enterprises_TX,PLANNED PARENTHOOD MAINE ACTION FUND
49,Educational Services_TX,PLANNED PARENTHOOD MAINE ACTION FUND
50,RETIRED_TX,PLANNED PARENTHOOD MAINE ACTION FUND
51,NOT EMPLOYED_TX,PLANNED PARENTHOOD MAINE ACTION FUND
52,Administrative and Support and Waste Management and Remediation Services_TX,PLANNED PARENTHOOD MAINE ACTION FUND
53,Health Care and Social Assistance_TX,DONALD J. TRUMP FOR PRESIDENT
54,Management of Companies and Enterprises_TX,DONALD J. TRUMP FOR PRESIDENT
55,Educational Services_TX,DONALD J. TRUMP FOR PRESIDENT
56,RETIRED_TX,DONALD J. TRUMP FOR PRESIDENT
57,"Professional, Scientific, and Technical Services_TX",DONALD J. TRUMP FOR PRESIDENT
58,NOT EMPLOYED_TX,DONALD J. TRUMP FOR PRESIDENT
59,Public Administration_TX,DONALD J. TRUMP FOR PRESIDENT
60,Real Estate and Rental and Leasing_TX,DONALD J. TRUMP FOR PRESIDENT
61,Finance and Insurance_TX,DONALD J. TRUMP FOR PRESIDENT
62,Administrative and Support and Waste Management and Remediation Services_TX,DONALD J. TRUMP FOR PRESIDENT
63,Health Care and Social Assistance_TX,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
64,Management of Companies and Enterprises_TX,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
65,Educational Services_TX,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
66,RETIRED_TX,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
67,"Professional, Scientific, and Technical Services_TX",TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
68,NOT EMPLOYED_TX,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
69,Public Administration_TX,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
70,Real Estate and Rental and Leasing_TX,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
71,Finance and Insurance_TX,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
72,Administrative and Support and Waste Management and Remediation Services_TX,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE
73,Health Care and Social Assistance_TX,TRUMP VICTORY
74,Management of Companies and Enterprises_TX,TRUMP VICTORY
75,RETIRED_TX,TRUMP VICTORY
76,"Professional, Scientific, and Technical Services_TX",TRUMP VICTORY
77,NOT EMPLOYED_TX,TRUMP VICTORY
78,Public Administration_TX,TRUMP VICTORY
79,Real Estate and Rental and Leasing_TX,TRUMP VICTORY
80,Finance and Insurance_TX,TRUMP VICTORY
81,Administrative and Support and Waste Management and Remediation Services_TX,TRUMP VICTORY
82,Health Care and Social Assistance_TX,STAMPEDE AMERICA
83,Management of Companies and Enterprises_TX,STAMPEDE AMERICA
84,Educational Services_TX,STAMPEDE AMERICA
85,RETIRED_TX,STAMPEDE AMERICA
86,"Professional, Scientific, and Technical Services_TX",STAMPEDE AMERICA
87,Public Administration_TX,STAMPEDE AMERICA
88,Real Estate and Rental and Leasing_TX,STAMPEDE AMERICA
89,Finance and Insurance_TX,STAMPEDE AMERICA
90,Administrative and Support and Waste Management and Remediation Services_TX,STAMPEDE AMERICA
