,id,biden_poll,trump_poll,name,transaction_sum,transaction_count,avg_contrib
0,AZ,49.5,45.8,AZ,,,
1,FL,50.5,49.0,FL,,,
2,GA,45.8,48.0,GA,,,
3,MI,49.6,44.7,MI,,,
4,MN,52.7,46.0,MN,,,
5,NC,50.0,48.0,NC,,,
6,OH,49.0,45.7,OH,,,
7,PA,50.8,45.4,PA,,,
8,TX,45.6,48.4,TX,,,
9,WI,50.6,44.5,WI,,,
0,Administrative and Support and Waste Management and Remediation Services_AZ,,,,444253.0,6291.0,70.61723096487044
1,Construction_AZ,,,,192958.0,1364.0,141.46480938416423
2,Health Care and Social Assistance_AZ,,,,602154.0,5149.0,116.94581472130511
3,Management of Companies and Enterprises_AZ,,,,2226731.0,15312.0,145.4239158829676
4,NOT EMPLOYED_AZ,,,,1475472.0,18773.0,78.59542960634954
5,"Professional, Scientific, and Technical Services_AZ",,,,755806.0,7383.0,102.37112284979005
6,Public Administration_AZ,,,,697373.0,5944.0,117.32385598923284
7,RETIRED_AZ,,,,7638950.0,101997.0,74.89386942753218
8,Real Estate and Rental and Leasing_AZ,,,,410441.0,4014.0,102.25236671649228
9,Transportation and Warehousing_AZ,,,,192760.0,1514.0,127.31836195508586
10,Administrative and Support and Waste Management and Remediation Services_FL,,,,1033361.0,15158.0,68.17264810661037
11,DIRECTOR_FL,,,,719506.0,634.0,1134.8675078864353
12,Finance and Insurance_FL,,,,1627168.0,4620.0,352.2008658008658
13,Health Care and Social Assistance_FL,,,,2004639.0,15946.0,125.71422300263389
14,Management of Companies and Enterprises_FL,,,,10248876.0,40502.0,253.04617055947855
15,NOT EMPLOYED_FL,,,,4933461.0,55777.0,88.44973734693512
16,"Professional, Scientific, and Technical Services_FL",,,,3131560.0,21404.0,146.30723229302933
17,Public Administration_FL,,,,2244025.0,14948.0,150.12208991169388
18,RETIRED_FL,,,,25228999.0,266880.0,94.53311975419665
19,Real Estate and Rental and Leasing_FL,,,,1120323.0,10124.0,110.6601145792177
20,Administrative and Support and Waste Management and Remediation Services_GA,,,,438502.0,5796.0,75.6559696342305
21,Educational Services_GA,,,,328220.0,3278.0,100.1281269066504
22,Health Care and Social Assistance_GA,,,,858320.0,6085.0,141.05505341002464
23,Management of Companies and Enterprises_GA,,,,3089724.0,15357.0,201.193201797226
24,NOT EMPLOYED_GA,,,,1238279.0,15063.0,82.20666533890991
25,"Professional, Scientific, and Technical Services_GA",,,,1412322.0,9566.0,147.63976583734058
26,Public Administration_GA,,,,715556.0,5302.0,134.95963787250093
27,RETIRED_GA,,,,7196611.0,81252.0,88.57149362477232
28,Real Estate and Rental and Leasing_GA,,,,388792.0,3191.0,121.84017549357569
29,Retail Trade_GA,,,,276516.0,635.0,435.45826771653543
30,Administrative and Support and Waste Management and Remediation Services_MI,,,,458414.0,7276.0,63.00357339197361
31,Educational Services_MI,,,,422561.0,4107.0,102.88799610421232
32,Health Care and Social Assistance_MI,,,,803943.0,7203.0,111.61224489795919
33,Management of Companies and Enterprises_MI,,,,2274224.0,14563.0,156.1645265398613
34,Manufacturing_MI,,,,173717.0,2487.0,69.85002010454363
35,NOT EMPLOYED_MI,,,,1419919.0,19724.0,71.98940377205435
36,"Professional, Scientific, and Technical Services_MI",,,,1116262.0,8825.0,126.488611898017
37,Public Administration_MI,,,,486155.0,7237.0,67.17631615310212
38,RETIRED_MI,,,,5651483.0,81407.0,69.42256808382571
39,Real Estate and Rental and Leasing_MI,,,,332870.0,3766.0,88.38821030270844
40,Administrative and Support and Waste Management and Remediation Services_MN,,,,295817.0,4345.0,68.08216340621404
41,Educational Services_MN,,,,222455.0,1933.0,115.08277289187791
42,Health Care and Social Assistance_MN,,,,497821.0,3836.0,129.77606882168925
43,Management of Companies and Enterprises_MN,,,,1635724.0,9262.0,176.60591664867198
44,NOT EMPLOYED_MN,,,,1210447.0,12357.0,97.95638099862425
45,"Professional, Scientific, and Technical Services_MN",,,,682610.0,5470.0,124.79159049360146
46,Public Administration_MN,,,,346644.0,3560.0,97.37191011235954
47,RETIRED_MN,,,,2665577.0,36051.0,73.93905855593465
48,Real Estate and Rental and Leasing_MN,,,,165247.0,1684.0,98.12767220902613
49,Transportation and Warehousing_MN,,,,124805.0,1365.0,91.43223443223444
50,Administrative and Support and Waste Management and Remediation Services_NC,,,,443015.0,5977.0,74.11995984607663
